Year,League,Name,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,Hits/AB,OBP,SLG,OPS,TB
2005,AL,Jay Gibbons,28,BAL,139,518,488,72,135,33,3,26,79,28,56,0.277,0.317,0.516,0.833,252
2005,AL,Juan Gonzalez,35,CLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,AL,Shea Hillenbrand,29,TOR,152,645,594,91,173,36,2,18,82,26,79,0.291,0.343,0.449,0.792,267
2005,AL,Gary Matthews,30,TEX,131,526,475,72,121,25,5,17,55,47,90,0.255,0.32,0.436,0.756,207
2005,AL,Craig Monroe,28,DET,157,623,567,69,157,30,3,20,89,40,95,0.277,0.322,0.446,0.768,253
2005,AL,Melvin Mora,33,BAL,149,664,593,86,168,30,1,27,88,50,112,0.283,0.348,0.474,0.821,281
2005,AL,Trot Nixon,31,BOS,124,470,408,64,112,29,1,13,67,53,59,0.275,0.357,0.446,0.804,182
2005,AL,Magglio Ordonez,31,DET,82,343,305,38,92,17,0,8,46,30,35,0.302,0.359,0.436,0.795,133
2005,AL,David Ortiz,29,BOS,159,713,601,119,180,40,1,47,148,102,124,0.3,0.397,0.604,1.001,363
2005,AL,Rafael Palmeiro,40,BAL,110,422,369,47,98,13,0,18,60,43,43,0.266,0.339,0.447,0.786,165
2005,AL,Manny Ramirez,33,BOS,152,650,554,112,162,30,1,45,144,80,119,0.292,0.388,0.594,0.982,329
2005,AL,Brian Roberts,27,BAL,143,640,561,92,176,45,7,18,73,67,83,0.314,0.387,0.515,0.903,289
2005,AL,Alex Rodriguez,29,NYY,162,715,605,124,194,29,1,48,130,91,139,0.321,0.421,0.61,1.031,369
2005,AL,Ivan Rodriguez,33,DET,129,525,504,71,139,33,5,14,50,11,93,0.276,0.29,0.444,0.735,224
2005,AL,Richie Sexson,30,SEA,156,656,558,99,147,36,1,39,121,89,167,0.263,0.369,0.541,0.91,302
2005,AL,Gary Sheffield,36,NYY,154,675,584,104,170,27,0,34,123,78,76,0.291,0.379,0.512,0.891,299
2005,AL,Alfonso Soriano,29,TEX,156,682,637,102,171,43,2,36,104,33,125,0.268,0.309,0.512,0.821,326
2005,AL,Sammy Sosa,36,BAL,102,424,380,39,84,15,1,14,45,39,84,0.221,0.295,0.376,0.671,143
2005,AL,Scott Spiezio,32,SEA,29,51,47,2,3,1,0,1,1,4,18,0.064,0.137,0.149,0.286,7
2005,AL,Miguel Tejada,31,BAL,162,704,654,89,199,50,5,26,98,40,83,0.304,0.349,0.515,0.865,337
2005,AL,Vernon Wells,26,TOR,156,678,620,78,167,30,3,28,97,47,86,0.269,0.32,0.463,0.783,287
2005,AL,Randy Winn,31,SEA,102,436,386,46,106,25,1,6,37,37,53,0.275,0.342,0.391,0.733,151
2005,AL,Dmitri Young,31,DET,126,509,469,61,127,25,3,21,72,29,100,0.271,0.325,0.471,0.796,221
2005,NL,Bobby Abreu,31,PHI,162,719,588,104,168,37,1,24,102,117,134,0.286,0.405,0.474,0.879,279
2005,NL,Moises Alou,38,SFG,123,490,427,67,137,21,3,19,63,56,43,0.321,0.4,0.518,0.918,221
2005,NL,Tony Armas,27,WSN,17,34,32,1,4,0,0,0,0,1,13,0.125,0.152,0.125,0.277,4
2005,NL,Rich Aurilia,33,CIN,114,468,426,61,120,23,2,14,68,37,67,0.282,0.338,0.444,0.782,189
2005,NL,Barry Bonds,40,SFG,14,52,42,8,12,1,0,5,10,9,6,0.286,0.404,0.667,1.071,28
2005,NL,Milton Bradley,27,LAD,75,316,283,49,82,14,1,13,38,25,47,0.29,0.35,0.484,0.835,137
2005,NL,Jeromy Burnitz,36,CHC,160,671,605,84,156,31,2,24,87,57,109,0.258,0.322,0.435,0.757,263
2005,NL,Eric Byrnes,29,COL,15,60,53,2,10,2,0,0,5,7,11,0.189,0.283,0.226,0.51,12
2005,NL,Mike Cameron,32,NYM,76,343,308,47,84,23,2,12,39,29,85,0.273,0.342,0.477,0.819,147
